studyAccession,individualAccession,individualName,sampleAccession,sampleDescription,sampleName,gender,runAccession,dataName,experimentAccession,platform,strategy
,HRI968391,Null,HRS1236337,,T334,female,HRR1756968,HRR1756968_f1.fq.gz::NOT_FOUND,HRX1413819,Null,
,HRI968391,Null,HRS1236337,,T334,female,HRR1756968,HRR1756968_r2.fq.gz::NOT_FOUND,HRX1413819,Null,
,HRI968392,Null,HRS1236338,,T335,female,HRR1756617,HRR1756617_f1.fq.gz::NOT_FOUND,HRX1413468,Null,
,HRI968392,Null,HRS1236338,,T335,female,HRR1756617,HRR1756617_r2.fq.gz::NOT_FOUND,HRX1413468,Null,
,HRI968392,Null,HRS1236338,,T335,female,HRR1756969,HRR1756969_f1.fq.gz::NOT_FOUND,HRX1413820,Null,
,HRI968392,Null,HRS1236338,,T335,female,HRR1756969,HRR1756969_r2.fq.gz::NOT_FOUND,HRX1413820,Null,
,HRI968393,Null,HRS1236339,,T336,female,HRR1756618,HRR1756618_f1.fq.gz::NOT_FOUND,HRX1413469,Null,
,HRI968393,Null,HRS1236339,,T336,female,HRR1756618,HRR1756618_r2.fq.gz::NOT_FOUND,HRX1413469,Null,
,HRI968393,Null,HRS1236339,,T336,female,HRR1756970,HRR1756970_f1.fq.gz::NOT_FOUND,HRX1413821,Null,
,HRI968393,Null,HRS1236339,,T336,female,HRR1756970,HRR1756970_r2.fq.gz::NOT_FOUND,HRX1413821,Null,
,HRI968394,Null,HRS1236340,,T337,female,HRR1756619,HRR1756619_f1.fq.gz::NOT_FOUND,HRX1413470,Null,
,HRI968394,Null,HRS1236340,,T337,female,HRR1756619,HRR1756619_r2.fq.gz::NOT_FOUND,HRX1413470,Null,
,HRI968394,Null,HRS1236340,,T337,female,HRR1756971,HRR1756971_f1.fq.gz::NOT_FOUND,HRX1413822,Null,
,HRI968394,Null,HRS1236340,,T337,female,HRR1756971,HRR1756971_r2.fq.gz::NOT_FOUND,HRX1413822,Null,
,HRI968395,Null,HRS1236341,,T338,female,HRR1756620,HRR1756620_f1.fq.gz::NOT_FOUND,HRX1413471,Null,
,HRI968395,Null,HRS1236341,,T338,female,HRR1756620,HRR1756620_r2.fq.gz::NOT_FOUND,HRX1413471,Null,
,HRI968395,Null,HRS1236341,,T338,female,HRR1756972,HRR1756972_f1.fq.gz::NOT_FOUND,HRX1413823,Null,
,HRI968395,Null,HRS1236341,,T338,female,HRR1756972,HRR1756972_r2.fq.gz::NOT_FOUND,HRX1413823,Null,
,HRI968396,Null,HRS1236342,,T339,male,HRR1756621,HRR1756621_f1.fq.gz::NOT_FOUND,HRX1413472,Null,
,HRI968396,Null,HRS1236342,,T339,male,HRR1756621,HRR1756621_r2.fq.gz::NOT_FOUND,HRX1413472,Null,
,HRI968396,Null,HRS1236342,,T339,male,HRR1756973,HRR1756973_f1.fq.gz::NOT_FOUND,HRX1413824,Null,
,HRI968396,Null,HRS1236342,,T339,male,HRR1756973,HRR1756973_r2.fq.gz::NOT_FOUND,HRX1413824,Null,
,HRI968397,Null,HRS1236343,,T340,male,HRR1756622,HRR1756622_f1.fq.gz::NOT_FOUND,HRX1413473,Null,
,HRI968397,Null,HRS1236343,,T340,male,HRR1756622,HRR1756622_r2.fq.gz::NOT_FOUND,HRX1413473,Null,
,HRI968397,Null,HRS1236343,,T340,male,HRR1756974,HRR1756974_f1.fq.gz::NOT_FOUND,HRX1413825,Null,
,HRI968397,Null,HRS1236343,,T340,male,HRR1756974,HRR1756974_r2.fq.gz::NOT_FOUND,HRX1413825,Null,
,HRI968398,Null,HRS1236344,,T341,female,HRR1756623,HRR1756623_f1.fq.gz::NOT_FOUND,HRX1413474,Null,
,HRI968398,Null,HRS1236344,,T341,female,HRR1756623,HRR1756623_r2.fq.gz::NOT_FOUND,HRX1413474,Null,
,HRI968398,Null,HRS1236344,,T341,female,HRR1756975,HRR1756975_f1.fq.gz::NOT_FOUND,HRX1413826,Null,
,HRI968398,Null,HRS1236344,,T341,female,HRR1756975,HRR1756975_r2.fq.gz::NOT_FOUND,HRX1413826,Null,
,HRI968399,Null,HRS1236345,,T342,male,HRR1756624,HRR1756624_f1.fq.gz::NOT_FOUND,HRX1413475,Null,
,HRI968399,Null,HRS1236345,,T342,male,HRR1756624,HRR1756624_r2.fq.gz::NOT_FOUND,HRX1413475,Null,
